,Name,Sex upon Outcome,Adopt,Age_days,Sex,cfa_breed,coat_pattern,pattern,Cat_Kitten_Neonatal
42985,1,Spayed Female,1,767,Female,0,no pattern,0,Adult
42986,1,Neutered Male,1,75,Male,0,tabby,1,Kitten
42987,1,Spayed Female,1,92,Female,0,calico,1,Kitten
42988,1,Neutered Male,0,1485,Male,0,tabby,1,Adult
42989,0,Intact Female,0,36,Female,0,tabby,1,Neonatal
42990,1,Neutered Male,1,118,Male,0,tabby,1,Kitten
42991,1,Neutered Male,0,73,Male,0,tabby,1,Kitten
42992,1,Neutered Male,1,108,Male,0,tabby,1,Kitten
42993,0,Intact Male,0,7,Male,0,no pattern,0,Neonatal
42994,1,Intact Female,1,67,Female,0,tabby,1,Kitten
42995,1,Spayed Female,1,122,Female,0,calico,1,Kitten
42996,0,Intact Male,0,35,Male,0,tabby,1,Neonatal
42997,1,Spayed Female,1,455,Female,0,tabby,1,Adult
42998,1,Intact Male,0,737,Male,0,no pattern,0,Adult
42999,1,Intact Female,0,45,Female,0,no pattern,0,Kitten
43000,0,Intact Male,0,23,Male,0,no pattern,0,Neonatal
43001,1,Neutered Male,1,120,Male,0,tabby,1,Kitten
43002,0,Intact Female,0,4017,Female,0,no pattern,0,Adult
43003,1,Spayed Female,1,378,Female,0,no pattern,0,Adult
43004,1,Intact Female,0,46,Female,0,tabby,1,Kitten
43005,0,Intact Female,0,33,Female,0,tortie,1,Neonatal
43006,0,Spayed Female,1,64,Female,0,tabby,1,Kitten
43007,1,Spayed Female,1,68,Female,0,tabby,1,Kitten
43008,1,Intact Male,0,42,Male,0,tabby,1,Neonatal
43009,0,Neutered Male,1,81,Male,0,no pattern,0,Kitten
43010,1,Neutered Male,1,737,Male,1,tabby,1,Adult
43011,0,Intact Male,0,15,Male,0,tabby,1,Neonatal
43012,0,Intact Female,0,15,Female,0,no pattern,0,Neonatal
43013,1,Spayed Female,1,1142,Female,0,no pattern,0,Adult
43014,0,Intact Male,0,730,Male,0,no pattern,0,Adult
43015,1,Spayed Female,1,161,Female,0,no pattern,0,Kitten
43016,1,Intact Female,1,102,Female,0,tabby,1,Kitten
43017,0,Intact Female,0,78,Female,0,torbie,1,Kitten
43018,1,Neutered Male,1,94,Male,0,tabby,1,Kitten
43019,1,Intact Female,1,105,Female,0,no pattern,0,Kitten
43020,1,Neutered Male,1,739,Male,0,tabby,1,Adult
43021,1,Spayed Female,1,58,Female,0,tabby,1,Kitten
43022,1,Spayed Female,1,218,Female,0,no pattern,0,Kitten
43023,1,Spayed Female,1,2143,Female,0,tabby,1,Adult
43024,1,Intact Male,1,99,Male,0,tabby,1,Kitten
43025,1,Neutered Male,1,2636,Male,0,no pattern,0,Adult
43026,1,Spayed Female,1,750,Female,1,no pattern,0,Adult
43027,0,Intact Male,0,38,Male,0,no pattern,0,Neonatal
43028,1,Spayed Female,0,5357,Female,0,calico,1,Adult
43029,1,Intact Male,0,70,Male,0,no pattern,0,Kitten
43030,1,Spayed Female,0,368,Female,0,no pattern,0,Adult
43031,1,Spayed Female,1,95,Female,0,tortie,1,Kitten
43032,1,Spayed Female,1,128,Female,0,no pattern,0,Kitten
43033,1,Spayed Female,0,1101,Female,0,torbie,1,Adult
43034,1,Neutered Male,1,57,Male,0,tabby,1,Kitten
43035,1,Neutered Male,1,111,Male,0,tabby,1,Kitten
43036,0,Intact Male,0,1468,Male,0,tabby,1,Adult
43037,1,Intact Male,0,733,Male,0,tabby,1,Adult
